"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20240601","경부선","신도림","3746","4163","20240604",""
"20240601","3호선","신사","24723","26535","20240604",""
"20240601","3호선","압구정","26592","28521","20240604",""
"20240601","3호선","옥수","8041","8143","20240604",""
"20240601","3호선","금호","6886","6157","20240604",""
"20240601","3호선","약수","10863","10243","20240604",""
"20240601","3호선","동대입구","11493","13231","20240604",""
"20240601","3호선","충무로","14","0","20240604",""
"20240601","3호선","을지로3가","8536","8812","20240604",""
"20240601","3호선","안국","26860","29280","20240604",""
"20240601","3호선","경복궁(정부서울청사)","28040","28942","20240604",""
"20240601","1호선","시청","27390","28200","20240604",""
"20240601","1호선","종각","32632","31387","20240604",""
"20240601","1호선","종로3가","29856","27873","20240604",""
"20240601","1호선","종로5가","23584","23286","20240604",""
"20240601","1호선","동대문","12968","13190","20240604",""
"20240601","1호선","신설동","12139","11345","20240604",""
"20240601","1호선","제기동","17350","17900","20240604",""
"20240601","1호선","청량리(서울시립대입구)","24046","23606","20240604",""
"20240601","1호선","동묘앞","15786","16583","20240604",""
"20240601","2호선","시청","19669","15817","20240604",""
"20240601","2호선","을지로입구","45898","45464","20240604",""
"20240601","2호선","을지로3가","18865","17121","20240604",""
"20240601","2호선","을지로4가","10354","11323","20240604",""
"20240601","2호선","동대문역사문화공원(DDP)","15466","17867","20240604",""
"20240601","2호선","신당","13507","14796","20240604",""
"20240601","2호선","상왕십리","11409","10692","20240604",""
"20240601","2호선","왕십리(성동구청)","14482","13682","20240604",""
"20240601","2호선","한양대","5903","6248","20240604",""
"20240601","2호선","뚝섬","25247","24661","20240604",""
"20240601","2호선","성수","34492","40449","20240604",""
"20240601","2호선","건대입구","45413","44191","20240604",""
"20240601","2호선","구의(광진구청)","20761","19035","20240604",""
"20240601","2호선","강변(동서울터미널)","30806","30109","20240604",""
"20240601","2호선","잠실나루","9695","9415","20240604",""
"20240601","2호선","잠실(송파구청)","77741","74887","20240604",""
"20240601","2호선","잠실새내","22343","22695","20240604",""
"20240601","2호선","종합운동장","18849","20709","20240604",""
"20240601","2호선","삼성(무역센터)","36508","36514","20240604",""
"20240601","2호선","선릉","29405","25722","20240604",""
"20240601","2호선","역삼","19349","21544","20240604",""
"20240601","2호선","강남","61572","60770","20240604",""
"20240601","2호선","교대(법원.검찰청)","17835","22357","20240604",""
"20240601","2호선","서초","13160","11862","20240604",""
"20240601","2호선","방배","11427","11515","20240604",""
"20240601","2호선","사당","38851","42537","20240604",""
"20240601","2호선","낙성대(강감찬)","24163","22095","20240604",""
"20240601","2호선","서울대입구(관악구청)","39770","38259","20240604",""
"20240601","2호선","봉천","20640","18593","20240604",""
"20240601","중앙선","도농","8718","8193","20240604",""
"20240601","2호선","신림","49450","47031","20240604",""
"20240601","2호선","신대방","22675","21268","20240604",""
"20240601","2호선","구로디지털단지","39737","38287","20240604",""
"20240601","2호선","대림(구로구청)","21065","21852","20240604",""
"20240601","2호선","신도림","48912","50157","20240604",""
"20240601","2호선","문래","15510","16766","20240604",""
"20240601","2호선","영등포구청","15031","15440","20240604",""
"20240601","2호선","당산","14637","15977","20240604",""
"20240601","2호선","합정","33755","39091","20240604",""
"20240601","2호선","홍대입구","84996","97882","20240604",""
"20240601","2호선","신촌","37972","39363","20240604",""
"20240601","2호선","이대","13711","14460","20240604",""
"20240601","2호선","아현","9661","8639","20240604",""
"20240601","2호선","충정로(경기대입구)","7312","7352","20240604",""
"20240601","2호선","용답","2520","2387","20240604",""
"20240601","2호선","신답","1278","1293","20240604",""
"20240601","2호선","신설동","4295","3947","20240604",""
"20240601","2호선","도림천","972","992","20240604",""
"20240601","2호선","양천구청","5374","5250","20240604",""
"20240601","2호선","신정네거리","8333","8164","20240604",""
"20240601","2호선","용두(동대문구청)","2067","2053","20240604",""
"20240601","3호선","지축","6289","5935","20240604",""
"20240601","3호선","구파발","18400","18953","20240604",""
"20240601","3호선","연신내","31733","29682","20240604",""
"20240601","3호선","불광","15038","16626","20240604",""
"20240601","3호선","녹번","12160","10882","20240604",""
"20240601","3호선","홍제","16600","15335","20240604",""
"20240601","3호선","무악재","3803","3753","20240604",""
"20240601","3호선","독립문","8422","8934","20240604",""
"20240601","우이신설선","화계","3001","2808","20240604",""
"20240601","중앙선","원덕","397","427","20240604",""
"20240601","중앙선","용문","2570","2930","20240604",""
"20240601","중앙선","지평","68","84","20240604",""
"20240601","7호선","숭실대입구(살피재)","11214","10778","20240604",""
"20240601","경원선","지행","7358","7016","20240604",""
"20240601","중앙선","양정","581","534","20240604",""
"20240601","중앙선","덕소","5022","4981","20240604",""
"20240601","중앙선","도심","1792","1557","20240604",""
"20240601","중앙선","팔당","1413","1518","20240604",""
"20240601","중앙선","운길산","1500","1557","20240604",""
"20240601","중앙선","양수","2640","2644","20240604",""
"20240601","중앙선","신원","310","270","20240604",""
"20240601","중앙선","국수","721","726","20240604",""
"20240601","중앙선","아신","649","651","20240604",""
"20240601","중앙선","오빈","377","369","20240604",""
"20240601","중앙선","양평","3382","3632","20240604",""
"20240601","1호선","서울역","56070","55916","20240604",""
"20240601","우이신설선","가오리","3566","3343","20240604",""
"20240601","우이신설선","4.19민주묘지","2949","2625","20240604",""
"20240601","우이신설선","솔밭공원","2355","2127","20240604",""
"20240601","우이신설선","북한산우이","4265","4607","20240604",""
"20240601","안산선","수리산","3430","3046","20240604",""
"20240601","안산선","오이도","8267","8530","20240604",""
"20240601","안산선","정왕","8742","8665","20240604",""
"20240601","안산선","신길온천","1981","1862","20240604",""
"20240601","안산선","안산","12287","12957","20240604",""
"20240601","안산선","초지","4327","4469","20240604",""
"20240601","안산선","고잔","8539","8634","20240604",""
"20240601","안산선","중앙","18919","19492","20240604",""
"20240601","안산선","한대앞","9071","8942","20240604",""
"20240601","안산선","상록수","13930","13961","20240604",""
"20240601","안산선","반월","4104","3894","20240604",""
"20240601","안산선","대야미","4791","4206","20240604",""
"20240601","안산선","산본","15176","16037","20240604",""
"20240601","신림선","관악산(서울대)","4090","4519","20240604",""
"20240601","신림선","서울대벤처타운","9343","7788","20240604",""
"20240601","신림선","서원","2962","2455","20240604",""
"20240601","신림선","신림","1720","2189","20240604",""
"20240601","신림선","당곡","4005","3629","20240604",""
